Index,Humidity,Temperature,UV Power,Power,Pressure
0,58,19,215,1119437,101.76
1,58,19,215,1119437,101.76
2,58,18,270,1400218,101.78
3,58,18,270,1400218,101.78
4,57,19,275,1435853,101.81
5,57,19,275,1435853,101.81
6,57,19,275,1435853,101.81
7,57,19,270,1407591,101.85
8,57,19,270,1407591,101.85
9,56,19,305,1803879,101.87
10,56,19,305,1803879,101.87
11,56,19,305,1803879,101.87
12,56,20,305,1838285,101.87
13,56,20,305,1838285,101.87
14,55,19,195,1199923,101.9
15,55,19,195,1199923,101.9
16,55,19,195,1199923,101.9
17,53,20,235,893644.8,101.9
18,53,20,235,893644.8,101.9
19,53,20,235,893644.8,101.9
20,53,20,290,1790362,101.93
21,53,20,290,1790362,101.93
22,53,20,270,1003622,101.95
23,53,20,270,1003622,101.95
24,53,20,270,1719706,101.96
25,53,20,140,563865.6,101.97
26,53,20,140,563865.6,101.97
27,53,20,240,1572250,101.99
28,53,20,240,1572250,101.99
29,54,20,240,1591296,101.97
30,54,20,265,1736909,101.99
31,54,20,265,1736909,101.99
32,53,20,210,1710490,102.02
33,53,20,275,1755955,102.03
34,53,20,275,1755955,102.03
35,53,20,260,1773773,102.03
36,53,20,260,1773773,102.03
37,54,20,275,1850573,102.04
38,54,20,275,1850573,102.04
39,53,20,240,1629389,102.06
40,53,20,240,1629389,102.06
41,52,20,240,1591296,102.05
42,52,20,240,1591296,102.05
43,53,19,140,638976,102.06
44,53,19,140,638976,102.06
45,53,19,140,638976,102.06
46,54,19,140,625920,102.07
47,54,19,140,625920,102.07
48,54,19,235,1401447,102.09
49,54,19,235,1401447,102.09
50,54,19,235,1401447,102.09
51,54,19,160,1327719,102.1
52,54,19,160,1327719,102.1
53,54,19,210,1253376,102.13
54,54,19,210,1253376,102.13
55,54,19,210,1253376,102.13
56,54,19,210,1253376,102.13
57,53,19,200,1193472,102.13
58,53,19,200,1193472,102.13
59,54,19,160,652185.6,102.15
60,55,19,120,547276.8,102.15
61,55,19,120,547276.8,102.15
62,56,18,165,911769.6,102.14
63,56,18,165,911769.6,102.14
64,57,18,135,658329.6,102.15
65,56,18,115,572313.6,102.15
